200 1 200
1 2 928 7631
1 3 903 567
1 4 391 6659
1 5 120 4210
1 6 432 852
1 7 869 3363
1 8 381 3202
1 9 662 1869
1 10 43 5720
1 11 117 8794
1 12 776 5126
1 13 743 4493
1 14 965 8322
1 15 611 1068
1 16 681 7474
1 17 835 3299
1 18 589 7067
1 19 37 8645
1 20 385 7758
1 21 209 7419
1 22 320 4384
1 23 655 6712
1 24 604 7966
1 25 933 4184
1 26 730 4043
1 27 957 290
1 28 35 2201
1 29 699 52
1 30 14 4109
1 31 146 7967
1 32 219 9944
1 33 448 2142
1 34 760 5512
1 35 419 6250
1 36 721 4937
1 37 815 407
1 38 37 6248
1 39 69 4548
1 40 618 9701
1 41 386 424
1 42 788 1204
1 43 397 776
1 44 304 5664
1 45 765 6816
1 46 541 7608
1 47 436 7585
1 48 602 8930
1 49 453 7292
1 50 429 6098
1 51 490 9221
1 52 194 1664
1 53 548 7313
1 54 526 7428
1 55 478 9000
1 56 364 9100
1 57 243 5392
1 58 491 4789
1 59 104 7418
1 60 43 2184
1 61 148 9002
1 62 529 1756
1 63 826 879
1 64 182 5829
1 65 423 1130
1 66 662 5866
1 67 645 1052
1 68 427 2808
1 69 717 7435
1 70 311 7817
1 71 703 4850
1 72 106 3262
1 73 927 4047
1 74 196 6290
1 75 700 5038
1 76 538 9835
1 77 763 5984
1 78 542 8397
1 79 112 1459
1 80 642 8442
1 81 134 6194
1 82 603 5762
1 83 231 2894
1 84 869 4649
1 85 338 5222
1 86 492 6212
1 87 18 9540
1 88 441 5690
1 89 65 1506
1 90 334 1106
1 91 759 6117
1 92 903 8099
1 93 224 2292
1 94 719 8284
1 95 544 5595
1 96 989 976
1 97 565 5179
1 98 473 638
1 99 552 3555
1 100 800 4871
1 101 126 284
1 102 750 317
1 103 150 3166
1 104 292 6296
1 105 489 3041
1 106 418 8544
1 107 810 789
1 108 82 7864
1 109 851 7612
1 110 777 1072
1 111 827 2211
1 112 562 4046
1 113 897 934
1 114 574 9253
1 115 859 9499
1 116 326 2564
1 117 502 7385
1 118 340 6741
1 119 279 8480
1 120 910 1398
1 121 232 4081
1 122 37 1814
1 123 333 6846
1 124 845 1423
1 125 664 6787
1 126 14 5324
1 127 116 2888
1 128 26 4673
1 129 516 6466
1 130 283 4271
1 131 362 4845
1 132 382 8226
1 133 590 6446
1 134 99 1002
1 135 38 891
1 136 874 3718
1 137 531 209
1 138 857 8035
1 139 762 9737
1 140 792 2475
1 141 390 9815
1 142 304 8511
1 143 22 1862
1 144 374 6281
1 145 10 4939
1 146 57 2264
1 147 220 1369
1 148 732 3759
1 149 216 2543
1 150 439 7521
1 151 513 8465
1 152 92 2386
1 153 824 7168
1 154 624 8231
1 155 483 2566
1 156 349 6128
1 157 455 1851
1 158 99 7008
1 159 608 6028
1 160 928 8705
1 161 170 9670
1 162 430 3708
1 163 547 8504
1 164 966 2472
1 165 910 5909
1 166 352 9629
1 167 244 1923
1 168 801 2937
1 169 756 854
1 170 163 7332
1 171 838 6092
1 172 771 8894
1 173 992 3208
1 174 429 6097
1 175 388 4935
1 176 338 8183
1 177 991 4136
1 178 15 2988
1 179 409 3339
1 180 504 9082
1 181 905 1935
1 182 409 9559
1 183 223 4642
1 184 562 7315
1 185 172 7320
1 186 373 4176
1 187 120 8734
1 188 143 8690
1 189 835 9351
1 190 905 9966
1 191 334 788
1 192 581 7360
1 193 671 1969
1 194 503 8392
1 195 828 618
1 196 594 9710
1 197 136 1165
1 198 756 8453
1 199 896 2657
2 3 270 3868
2 4 122 2778
2 5 237 1504
2 6 575 6563
2 7 375 4843
2 8 521 906
2 9 712 1710
2 10 866 8450
2 11 964 5289
2 12 610 6955
2 13 663 2118
2 14 775 2742
2 15 310 1883
2 16 243 9302
2 17 120 6359
2 18 162 4658
2 19 143 7349
2 20 857 3591
2 21 811 5966
2 22 402 3309
2 23 207 8084
2 24 290 3652
2 25 615 3329
2 26 860 5438
2 27 121 7426
2 28 412 3039
2 29 341 268
2 30 177 9770
2 31 556 4538
2 32 568 7203
2 33 805 2230
2 34 373 1991
2 35 731 8921
2 36 834 6284
2 37 231 8117
2 38 755 358
2 39 208 550
2 40 87 8525
2 41 958 5730
2 42 645 1929
2 43 14 5636
2 44 884 4322
2 45 463 2849
2 46 914 9413
2 47 65 8013
2 48 155 884
2 49 693 3928
2 50 334 8658
2 51 908 6149
2 52 711 7533
2 53 712 2420
2 54 739 6751
2 55 772 5784
2 56 559 1618
2 57 662 8728
2 58 2 751
2 59 933 8189
2 60 37 5059
2 61 33 3777
2 62 817 7043
2 63 396 4056
2 64 754 1514
2 65 244 8217
2 66 302 1320
